id,premis dan hipotesis,label
19,tahun lalu song joong ki rupa raih harga sama park bo gum hipoevitag song joong ki milik rivalitas park bo gum,2
20,tahun lalu song joong ki rupa raih harga sama park bo gum hipoevitag song joong ki tidak raih harga tahun lalu,0
21,sawah jatiluwih kamu temu pura rumah warga pandang sungai hipoevitag kamu temu rumah jatiluwih,1
22,sawah jatiluwih kamu temu pura rumah warga pandang sungai hipoevitag pandang jatiluwih sangat indah,2
23,sawah jatiluwih kamu temu pura rumah warga pandang sungai hipoevitag jatiluwih tidak temu sungai,0
24,ambruk intervensi puluh bank akibat lari modal buat banyak usaha jadi bangkrut hipoevitag intervensi puluh bank ambruk,1
25,ambruk intervensi puluh bank akibat lari modal buat banyak usaha jadi bangkrut hipoevitag beberapa usaha tidak bangkrut walaupun intervensi puluh bank ambruk,2
26,ambruk intervensi puluh bank akibat lari modal buat banyak usaha jadi bangkrut hipoevitag tidak lari modal jadi akibat ambruk intervensi puluh bank,0
27,tanggal maret herzl kunjung pendeta william hechler layan anglican duta inggris hipoevitag herzl kunjung layan anglican tanggal maret,1
28,tanggal maret herzl kunjung pendeta william hechler layan anglican duta inggris hipoevitag herzl pernah kunjung tanggal maret,2
29,tanggal maret herzl kunjung pendeta william hechler layan anglican duta inggris hipoevitag pendeta william hechler bukan layan anglican,0
30,gunung batu jonggol destinasi wisata gunung letak camat sukamakmur bogor jawa barat hipoevitag gunung batu jonggol rupa wisata gunung,1
31,gunung batu jonggol destinasi wisata gunung letak camat sukamakmur bogor jawa barat hipoevitag gunung batu jonggol satusatunya wisata sukamakmur,2
32,gunung batu jonggol destinasi wisata gunung letak camat sukamakmur bogor jawa barat hipoevitag camat sukamakmur tidak bogor,0
33,totok kata persero komitmen terus beri layan baik langgan rasa puas setia kelas priority hipoevitag persero toktok komitmen muas langgan,1
34,totok kata persero komitmen terus beri layan baik langgan rasa puas setia kelas priority hipoevitag persero toktok penah tidak muas langgan,2
35,totok kata persero komitmen terus beri layan baik langgan rasa puas setia kelas priority hipoevitag persero toktok tidak komitmen muas langgan,0
36,video musik resmi lagu tampil september rilis dvd serial volume pertama hipoevitag video musik resmi lagu tampil september,1
37,video musik resmi lagu tampil september rilis dvd serial volume pertama hipoevitag rilis dvd serial volume,2
38,video musik resmi lagu tampil september rilis dvd serial volume pertama hipoevitag rilis dvd serial volume pertama laku tanggal september,0
39,owi butet rupa unggul tiga dunia terus tambah poin ubah skor jadi jurus kemudian tan lai tekan laku salah buat skor ubah hipoevitag owibutet rupa unggul tiga dunia,1
40,owi butet rupa unggul tiga dunia terus tambah poin ubah skor jadi jurus kemudian tan lai tekan laku salah buat skor ubah hipoevitag unggul empat dunia duduk tanlai,2
41,owi butet rupa unggul tiga dunia terus tambah poin ubah skor jadi jurus kemudian tan lai tekan laku salah buat skor ubah hipoevitag skor tanlai hasil tekan owibutet,0
42,tanggal lahir gaudapa tidak bahkan ragu gaudapa pernah hidup tidak hipoevitag banyak ragu kena tanggal lahir gaudapa,1
43,tanggal lahir gaudapa tidak bahkan ragu gaudapa pernah hidup tidak hipoevitag ragu milik gaudapa buat tidak yakin terus hidup,2
44,tanggal lahir gaudapa tidak bahkan ragu gaudapa pernah hidup tidak hipoevitag semua orang yakin gaudapa pernah hidup suatu masa,0
45,bab pertama ikaryaku sendiri mulai serial tanggal oktober tepat edisi desember gaga hipoevitag ikaryaku serial bab pertama,1
46,bab pertama ikaryaku sendiri mulai serial tanggal oktober tepat edisi desember gaga hipoevitag bab ikaryaku tidak serial,2
47,bab pertama ikaryaku sendiri mulai serial tanggal oktober tepat edisi desember gaga hipoevitag ikaryaku tidak pernah serial,0
48,unit unit sebut divisi direktorat cabang hipoevitag nama unitunit,1
49,unit unit sebut divisi direktorat cabang hipoevitag divisi direktorak nyata unit sama,2
50,unit unit sebut divisi direktorat cabang hipoevitag unitunit sebut departemen,0
51,tika umum adopsi konsep teori evolusi khusus populasi genetik mengaplikasikanya budaya manusia hipoevitag tika adopsi konsep populasi genetik,1
52,neutral hipoevitag neutral,2
53,tika umum adopsi konsep teori evolusi khusus populasi genetik mengaplikasikanya budaya manusia hipoevitag tika aplikasi teori evolusi budaya manusia,0
54,menang persib bandung atas psm makassar stadion gelora bandung laut api gbla rabu kemarin sangat syukur atep hipoevitag persib bandung menang stadion gbla,1
55,menang persib bandung atas psm makassar stadion gelora bandung laut api gbla rabu kemarin sangat syukur atep hipoevitag menang sebut jadi tahun,2
56,menang persib bandung atas psm makassar stadion gelora bandung laut api gbla rabu kemarin sangat syukur atep hipoevitag atep tidak syukur menang persib bandung,0
57,tinggal bagaimana real madrid jaga utuh tim masuk rayu main tidak betah tetap santiago bernabeu james rodriguez alvaro morata masuk kategori sebut minim jatah tampil hipoevitag alvaro morata rupa main real madrid,1
58,tinggal bagaimana real madrid jaga utuh tim masuk rayu main tidak betah tetap santiago bernabeu james rodriguez alvaro morata masuk kategori sebut minim jatah tampil hipoevitag utuh tim real madrid tidak jaga,2
59,tinggal bagaimana real madrid jaga utuh tim masuk rayu main tidak betah tetap santiago bernabeu james rodriguez alvaro morata masuk kategori sebut minim jatah tampil hipoevitag james rodriguez betah tetap santiago bernabeu,0
60,pijeran buah desa wilayah camat siman kabupaten ponorogo jawa timur hipoevitag pijeran rupa buah desa,1
61,pijeran buah desa wilayah camat siman kabupaten ponorogo jawa timur hipoevitag desa pijeran aman asri,2
62,pijeran buah desa wilayah camat siman kabupaten ponorogo jawa timur hipoevitag kabupaten ponorogo tidak milik desa,0
63,walaupun darah turun india tapi semangat cinta hadap negara satu republik indonesia nkri sangat tinggi hipoevitag milik semangat cinta hadap nkri tinggi,1
64,walaupun darah turun india tapi semangat cinta hadap negara satu republik indonesia nkri sangat tinggi hipoevitag rupa warga negara sah indonesia,2
65,walaupun darah turun india tapi semangat cinta hadap negara satu republik indonesia nkri sangat tinggi hipoevitag darah turun indonesia,0
66,sentra industri kecil sebar seluruh kabupaten kota beberapa nya tembus ekspor industri rajin kulit upa tas sepatu tanggulangin sidoarjo salah satu industri kecil sangat kenal hipoevitag salah satu industri sangat kenal tanggulangin sidoarjo industri rajin kulit upa tas sepatu,1
67,sentra industri kecil sebar seluruh kabupaten kota beberapa nya tembus ekspor industri rajin kulit upa tas sepatu tanggulangin sidoarjo salah satu industri kecil sangat kenal hipoevitag sentra industri rajin kulit sebar seluruh kabupaten kota tanggulangin,2
68,sentra industri kecil sebar seluruh kabupaten kota beberapa nya tembus ekspor industri rajin kulit upa tas sepatu tanggulangin sidoarjo salah satu industri kecil sangat kenal hipoevitag tidak sentra industri tanggulangin sidoarjo tembus ekspor,0
69,evaporasi rupa proses ubah air wujud cair jadi gas air ubah jadi uapuap air memungkinkanya naik atmosfer bumi hipoevitag uap air mungkin naik atmosfer bumi,1
70,evaporasi rupa proses ubah air wujud cair jadi gas air ubah jadi uapuap air memungkinkanya naik atmosfer bumi hipoevitag evaporasi butuh bantu panas matahari rubah air jadi wujud gas,2
71,evaporasi rupa proses ubah air wujud cair jadi gas air ubah jadi uapuap air memungkinkanya naik atmosfer bumi hipoevitag tidak air wujud cair,0
72,tahun akibat tingkat harga minyak industri otomotif alami tekan harga ongkos bahan mentah ubah perilaku beli konsumen hipoevitag tahun harga minyak tingkat,1
73,tahun akibat tingkat harga minyak industri otomotif alami tekan harga ongkos bahan mentah ubah perilaku beli konsumen hipoevitag tahun harga minyak turun,2
74,tahun akibat tingkat harga minyak industri otomotif alami tekan harga ongkos bahan mentah ubah perilaku beli konsumen hipoevitag tahun industri otomotif alami turun tekan harga,0
75,kemudian jadi anggota parlemen tahun angkat bagai menteri jajah hipoevitag jabat bagai menteri jajah tahun,1
76,kemudian jadi anggota parlemen tahun angkat bagai menteri jajah hipoevitag angkat menteri jajah jadi tahun,2
77,kemudian jadi anggota parlemen tahun angkat bagai menteri jajah hipoevitag jabat bagai menteri jajah jadi lalu pilih umum,0
78,masyarakat indonesia tak asing dengar kata buncis biasa buah biji daun buncis sering manfaat bagai sayur hipoevitag masyrakat indonesia familiar kata buncis,1
79,masyarakat indonesia tak asing dengar kata buncis biasa buah biji daun buncis sering manfaat bagai sayur hipoevitag masyrakat indonesia sering buncis pangan,2
80,masyarakat indonesia tak asing dengar kata buncis biasa buah biji daun buncis sering manfaat bagai sayur hipoevitag masyarakat indonesia jarang buncis kata buncis sangat asing,0
81,khawatir anak main tiktok tanpa awas tenang kini orangtua langsung hubung akun milik anak lewat fitur family pairing hipoevitag tiktok milik fitur awas,1
82,khawatir anak main tiktok tanpa awas tenang kini orangtua langsung hubung akun milik anak lewat fitur family pairing hipoevitag orangtua milik akun tiktok akses family pairing,2
83,khawatir anak main tiktok tanpa awas tenang kini orangtua langsung hubung akun milik anak lewat fitur family pairing hipoevitag orang tua tidak pernah tahu giat anak main tiktok,0
84,destinasi pertama tuju waduk wadaslintang lokasi kecatamatan wadaslintang wonosobo hipoevitag destinasi pertama tuju lokasi camat wadaslintang wonosobo,1
85,destinasi pertama tuju waduk wadaslintang lokasi kecatamatan wadaslintang wonosobo hipoevitag destinasi pertama tuju waduk wadaslintang,2
86,destinasi pertama tuju waduk wadaslintang lokasi kecatamatan wadaslintang wonosobo hipoevitag destinasi pertama tuju bukan waduk,0
87,harap sini tutur senyum hipoevitag harap sini,1
88,harap sini tutur senyum hipoevitag senyum pikir,2
89,harap sini tutur senyum hipoevitag harap tidak sini,0
90,desa lipur camat bangli kabupaten bangli sangat sering jadi lokasi syuting ftv hipoevitag desa lipur sering jadi lokasi syuting ftv,1
91,desa lipur camat bangli kabupaten bangli sangat sering jadi lokasi syuting ftv hipoevitag kabupaten bangli milik banyak lokasi syuting,2
92,desa lipur camat bangli kabupaten bangli sangat sering jadi lokasi syuting ftv hipoevitag camat bangli tidak kabupaten bangli,0
93,aplikasi muslim go sedia platform android ios hipoevitag ios sedia aplikasi muslim go,1
94,aplikasi muslim go sedia platform android ios hipoevitag semua ponsel android risi aplikasi muslim go,2
95,aplikasi muslim go sedia platform android ios hipoevitag ios tidak sedia aplikasi muslim go,0
96,pulau kakaban rupa satu satu pulau indonesia punya danau tengah hipoevitag kakaban punya danau tengah,1
97,pulau kakaban rupa satu satu pulau indonesia punya danau tengah hipoevitag kakaban rupa buah pulau barat indonesia,2
98,pulau kakaban rupa satu satu pulau indonesia punya danau tengah hipoevitag kakaban tidak milik danau tengah,0
99,who rencana rilis rencana kesiapsiagaan respons tangan pandemi cara global akhir pekan hipoevitag tangan pandemi cara global who rencana rilis rencana kesiapsiagaan respons,1
100,who rencana rilis rencana kesiapsiagaan respons tangan pandemi cara global akhir pekan hipoevitag pandemi global akhir akhir pekan,2
101,who rencana rilis rencana kesiapsiagaan respons tangan pandemi cara global akhir pekan hipoevitag who rencana rilis rencana kesiapsiagaan respons tangan pandemi cara global akhir tahun,0
102,sebut tutup tidak sifat permanen persero rencana laku renovasi perlu henti operasional satu hingga bulan depan hipoevitag persero rencana laku renovasi,1
103,sebut tutup tidak sifat permanen persero rencana laku renovasi perlu henti operasional satu hingga bulan depan hipoevitag bulan renovasi henti,2
104,sebut tutup tidak sifat permanen persero rencana laku renovasi perlu henti operasional satu hingga bulan depan hipoevitag persero rencana laku renovasi tidak perlu henti operasional satu hingga bulan depan,0
105,satu cd lagu tutup nyanyi kurosaki rilis geneon september hipoevitag september rupa tanggal pilih kurosaki rilis lagu,1
106,satu cd lagu tutup nyanyi kurosaki rilis geneon september hipoevitag satu cd nyanyi kurosaki tanggal september buah album,2
107,satu cd lagu tutup nyanyi kurosaki rilis geneon september hipoevitag geneon baru rilis cd nyanyi kurosaki tanggal desember,0
108,ekosistem pesisir vegetasi laut mangrove rawa air asin lamun makroalga milik mampu serap karbon dioksida atmosfer lalu proses fotosintesis kata aan terang resmi lipi hipoevitag proses fotosintesis serap karbon dioksida,1
109,ekosistem pesisir vegetasi laut mangrove rawa air asin lamun makroalga milik mampu serap karbon dioksida atmosfer lalu proses fotosintesis kata aan terang resmi lipi hipoevitag ekosistem pesisir sangat butuh,2
110,ekosistem pesisir vegetasi laut mangrove rawa air asin lamun makroalga milik mampu serap karbon dioksida atmosfer lalu proses fotosintesis kata aan terang resmi lipi hipoevitag makroalga tidak laku fotosintesis,0
111,umum kena keluar pria tahun langsung personel unggah video akun instagram adaindonesia hipoevitag umum kena keluar pria tahun akun instagram,1
112,neutral hipoevitag neutral,2
113,umum kena keluar pria tahun langsung personel unggah video akun instagram adaindonesia hipoevitag akun instagram adaindonesia tidak unggah video,0
114,tegalsari buah desa letak camat garung kabupaten wonosobo jawa tengah indonesia hipoevitag tegalsari kabupaten wonosobo,1
115,tegalsari buah desa letak camat garung kabupaten wonosobo jawa tengah indonesia hipoevitag tegalsari rupa desa besar,2
116,tegalsari buah desa letak camat garung kabupaten wonosobo jawa tengah indonesia hipoevitag tegalsari bukan rupa buah desa,0
117,gue sama istri bukan tipe orang suka jalanjalan pas orang libur hipoevitag gue istri milik sama jalanjalan,1
118,gue sama istri bukan tipe orang suka jalanjalan pas orang libur hipoevitag tidak orang jalanjalan libur,2
119,gue sama istri bukan tipe orang suka jalanjalan pas orang libur hipoevitag gue sama istri tipe orang beda libur,0
120,pihak perintah daerah sendiri bangun gerbang masuk bangun rejo hipoevitag perintah daerah buat gerbang masuk,1
121,pihak perintah daerah sendiri bangun gerbang masuk bangun rejo hipoevitag perintah daerah buat lebih satu gerbang masuk,2
122,pihak perintah daerah sendiri bangun gerbang masuk bangun rejo hipoevitag perintah daerah tidak buat gerbang masuk,0
123,suara almarhum tinju legendaris muhammad ali ikut masuk tak versi lama lagu memang pakai instrumen piano hipoevitag suara muhammad ali ikut masuk lagu,1
124,suara almarhum tinju legendaris muhammad ali ikut masuk tak versi lama lagu memang pakai instrumen piano hipoevitag suara muhammad ali versi lama lagu,2
125,suara almarhum tinju legendaris muhammad ali ikut masuk tak versi lama lagu memang pakai instrumen piano hipoevitag muhammad ali tinggal,0
126,lapor banyak tenaga sehat italia infeksi virus corona hipoevitag virus corona infeksi tenaga sehat italia,1
127,lapor banyak tenaga sehat italia infeksi virus corona hipoevitag tengah tenaga sehat infeksi virus corona italia tinggal mil,2
128,lapor banyak tenaga sehat italia infeksi virus corona hipoevitag tenaga sehat infeksi virus corona italia,0
129,salah satu kota biasa tak luput jadi singgah wisatawan sumatera barat bukittinggi hipoevitag bukittinggi rupa buah kota,1
130,salah satu kota biasa tak luput jadi singgah wisatawan sumatera barat bukittinggi hipoevitag wisatawan asing ikut singgah bukittinggi,2
131,salah satu kota biasa tak luput jadi singgah wisatawan sumatera barat bukittinggi hipoevitag tidak wisatawan singgah bukittinggi,0
132,data nielsen music catat joanne jual ribu kopi akhir minggu lansir aceshowbizcom hipoevitag nielsen music catat jual joanne,1
133,data nielsen music catat joanne jual ribu kopi akhir minggu lansir aceshowbizcom hipoevitag aceshowbiz catat akhir minggu,2
134,data nielsen music catat joanne jual ribu kopi akhir minggu lansir aceshowbizcom hipoevitag nielsen music tidak milik data joanne,0
135,jakarta cnn indonesia tampil bagai cameo film ocean s matt damon justru muncul petisi daring hipoevitag petisi daring muncul muncul matt damon,1
136,jakarta cnn indonesia tampil bagai cameo film ocean s matt damon justru muncul petisi daring hipoevitag george clooney tampil bagai cameo oceans,2
137,jakarta cnn indonesia tampil bagai cameo film ocean s matt damon justru muncul petisi daring hipoevitag matt damon tampil film oceans bagai per utama,0
138,berita ace showbiz joo hyuk tinggal dunia senin buah celaka mobil tragis polisi mati kabar joo hyuk konsumsi obat hipoevitag joo hyuk tinggal dunia,1
139,berita ace showbiz joo hyuk tinggal dunia senin buah celaka mobil tragis polisi mati kabar joo hyuk konsumsi obat hipoevitag ace showbiz wawancara polisi,2
140,berita ace showbiz joo hyuk tinggal dunia senin buah celaka mobil tragis polisi mati kabar joo hyuk konsumsi obat hipoevitag jo hyuk tinggal dunia,0
141,adveksi proses pindah awan satu titik titik satu garis horizontal akibat arus angin beda tekan udara hipoevitag adveksi arus angin beda tekan udara,1
142,adveksi proses pindah awan satu titik titik satu garis horizontal akibat arus angin beda tekan udara hipoevitag beda temperatur udara pindah awan satu titik titik,2
143,adveksi proses pindah awan satu titik titik satu garis horizontal akibat arus angin beda tekan udara hipoevitag beda tekan udara tidak pindah awan satu titik titik,0
144,ikut beberapa rekomendasi restoran jakarta sedia paket tarik hari valentine hipoevitag paket sebut laku hari valentine,1
145,ikut beberapa rekomendasi restoran jakarta sedia paket tarik hari valentine hipoevitag paket tarik sedia masuk diskon hingga,2
146,ikut beberapa rekomendasi restoran jakarta sedia paket tarik hari valentine hipoevitag restoran sedia paket reguler hari valentine,0
147,rajeg mulya desa camat rajeg kabupaten tangerang banten indonesia hipoevitag desa nama rajeg mulya banten,1
148,rajeg mulya desa camat rajeg kabupaten tangerang banten indonesia hipoevitag desa rajeg mulya letak selatan camat rajeg,2
149,rajeg mulya desa camat rajeg kabupaten tangerang banten indonesia hipoevitag rajeg mulya buah camat kabupaten tangerang,0
150,candi dieng sendiri rupa buah daerah risi kumpul candi tinggal umat hindu nilai sejarah tinggi hipoevitag kumpul candi tinggal umat hindu bentuk candi dieng,1
151,candi dieng sendiri rupa buah daerah risi kumpul candi tinggal umat hindu nilai sejarah tinggi hipoevitag candi dieng rupa tinggal umat hindu,2
152,candi dieng sendiri rupa buah daerah risi kumpul candi tinggal umat hindu nilai sejarah tinggi hipoevitag tidak candi tinggal umat hindu nilai sejarah tinggi,0
153,nyata rogers barubaru kenal alat aplikasi baru bantu langgan pantau paket data hipoevitag aplikasi bantu langgan pantau paket data,1
154,nyata rogers barubaru kenal alat aplikasi baru bantu langgan pantau paket data hipoevitag aplikasi kenal rogers habis banyak paket data,2
155,nyata rogers barubaru kenal alat aplikasi baru bantu langgan pantau paket data hipoevitag aplikasi baru kenal rogers bukan buat,0
156,gunung kachikachi cerita rakyat jepang kelinci hukum tanuki buat bunuh nenek teman kelinci hipoevitag gunung kachikachi cerita sejarah,1
157,gunung kachikachi cerita rakyat jepang kelinci hukum tanuki buat bunuh nenek teman kelinci hipoevitag cerita rakyat jepang judul gunung kachikachi umur tahun lebih,2
158,gunung kachikachi cerita rakyat jepang kelinci hukum tanuki buat bunuh nenek teman kelinci hipoevitag gunung kachikachi cerita negara indonesia,0
159,mulai januari naik harga bensin solar hipoevitag bensin alami tingkat harga mulai januari,1
160,mulai januari naik harga bensin solar hipoevitag harga bensin naik ribu rupiah mulai tanggal januari,2
161,mulai januari naik harga bensin solar hipoevitag harga solar tidak naik tanggal januari,0
162,nama asli whitney aycock kenal lejit agam menu pizza unik restoran pizza whit end hipoevitag whitney aycock cipta bagai pizza unik,1
163,nama asli whitney aycock kenal lejit agam menu pizza unik restoran pizza whit end hipoevitag restoran whit end buka cabang hingga eropa,2
164,nama asli whitney aycock kenal lejit agam menu pizza unik restoran pizza whit end hipoevitag whit end sedia menu pizza tradisional,0
165,cibodas baru buah lurah wilayah camat cibodas kota tangerang provinsi banten indonesia hipoevitag lurah cibodas baru wilayah camat cibodas kota tangerang provinsi banten indonesia,1
166,cibodas baru buah lurah wilayah camat cibodas kota tangerang provinsi banten indonesia hipoevitag lurah camat cibodas nama cibodas baru,2
167,cibodas baru buah lurah wilayah camat cibodas kota tangerang provinsi banten indonesia hipoevitag camat cibodas tidak milik lurah nama cibodas baru,0
168,tanggal januari hosni mubarak tunjuk omar suleiman bagai wakil presiden mesir ahmad fathi sorour orang pertama urut suksesi jadi presiden mesir mubarak tinggal jadi tidak mampu jalan tugas nya hipoevitag omar suleiman bukan wakil presiden mesir januari,1
169,tanggal januari hosni mubarak tunjuk omar suleiman bagai wakil presiden mesir ahmad fathi sorour orang pertama urut suksesi jadi presiden mesir mubarak tinggal jadi tidak mampu jalan tugas nya hipoevitag ahmad fathi sorour tunjuk bagai presiden mesir,2
170,tanggal januari hosni mubarak tunjuk omar suleiman bagai wakil presiden mesir ahmad fathi sorour orang pertama urut suksesi jadi presiden mesir mubarak tinggal jadi tidak mampu jalan tugas nya hipoevitag hosni mubarak tinggal tanggal januari,0
171,sang main keyboard jordan rudess tanpa sangka main salah satu lagu daerah hipoevitag jordan rudess rupa main keyboard,1
172,sang main keyboard jordan rudess tanpa sangka main salah satu lagu daerah hipoevitag jordan rudess rupa orang gitaris,2
173,sang main keyboard jordan rudess tanpa sangka main salah satu lagu daerah hipoevitag jordan rudess bukan main keyboard,0
174,ayah joong ki bocor kenal calon menantu sejak pasang main sama descendants of the sun hipoevitag joong ki main sama pasang descendants of the sun,1
175,ayah joong ki bocor kenal calon menantu sejak pasang main sama descendants of the sun hipoevitag ayah joong ki tidak suka calon menantu,2
176,ayah joong ki bocor kenal calon menantu sejak pasang main sama descendants of the sun hipoevitag joong ki tidak pernah main sama pasang,0
177,kang emil tidak mungkir pernah janji izin jakmania datang bandung lebih lanjut wali kota tahun kata bobotoh jakarta rekomendasi aman beri polisi tempat hipoevitag polisi tempat beri rekomendasi aman,1
178,kang emil tidak mungkir pernah janji izin jakmania datang bandung lebih lanjut wali kota tahun kata bobotoh jakarta rekomendasi aman beri polisi tempat hipoevitag bobotoh jakmania tidak timbul masalah aman,2
179,kang emil tidak mungkir pernah janji izin jakmania datang bandung lebih lanjut wali kota tahun kata bobotoh jakarta rekomendasi aman beri polisi tempat hipoevitag bobotoh larang pergi jakarta,0
180,lee byung chull waris buka giling padi bagai usaha pertama hipoevitag lee byung chull waris,1
181,lee byung chull waris buka giling padi bagai usaha pertama hipoevitag waris lee byung chull jumlah sedikit,2
182,lee byung chull waris buka giling padi bagai usaha pertama hipoevitag lee byung chull tidak waris,0
183,makin tinggi panas matahari jumlah air jadi uap air naik atmosfer bumi makin besar hipoevitag uap air naik atmosfer bumi,1
184,makin tinggi panas matahari jumlah air jadi uap air naik atmosfer bumi makin besar hipoevitag panas matahari sedang tinggi sekarang,2
185,makin tinggi panas matahari jumlah air jadi uap air naik atmosfer bumi makin besar hipoevitag makin tinggi panas matahari makin sedikit jumlah air jadi uap ari darn naik atmosfer,0
186,film tampil adegan laga inovatif karya koreografer laga papan atas hipoevitag adegan laga inovatif film sebut,1
187,film tampil adegan laga inovatif karya koreografer laga papan atas hipoevitag film laga sebut kandung adegan romantis,2
188,film tampil adegan laga inovatif karya koreografer laga papan atas hipoevitag koreografer direksi adegan milik alam,0
189,evidence summit rupa tindak lanjut kaji sama akademi ilmu tahu indonesia aipi us national academy of science nas tahun hipoevitag kaji sama aipi nas lanjut evidence summit,1
190,evidence summit rupa tindak lanjut kaji sama akademi ilmu tahu indonesia aipi us national academy of science nas tahun hipoevitag evidence summit laksana aipi dukung usaid,2
191,evidence summit rupa tindak lanjut kaji sama akademi ilmu tahu indonesia aipi us national academy of science nas tahun hipoevitag kaji sama aipi nas tidak milik tindak lanjut,0
192,tentara italia jadi militer pertama dunia kapal udara perang balon mud jatuh bom atas kemah tentara turki ottoman janzur tinggi kaki hipoevitag balon mud jatuh bom atas kemah tentara turki ottoman janzur tinggi kaki,1
193,tentara italia jadi militer pertama dunia kapal udara perang balon mud jatuh bom atas kemah tentara turki ottoman janzur tinggi kaki hipoevitag kemah tentara turki ottoman janzur lenyap jatuh bom balon mud,2
194,tentara italia jadi militer pertama dunia kapal udara perang balon mud jatuh bom atas kemah tentara turki ottoman janzur tinggi kaki hipoevitag tentara italia jadi militer pertama dunia kapal udara perang balon mud jatuh bom atas kemah tentara turki ottoman janzur tinggi kaki,0
195,kawasan asia tenggara sendiri milik bentang air tawar upa sungai danau rawa sungaisungai besar milik peran cukup penting utama duduk hipoevitag kawasan asia tenggara milik danau rawa,1
196,kawasan asia tenggara sendiri milik bentang air tawar upa sungai danau rawa sungaisungai besar milik peran cukup penting utama duduk hipoevitag danau milik peran cukup penting,2
197,entailment hipoevitag entailment,1
198,dewan riset nasional kelola perintah kata provinsi italia capai puncak sebar virus hipoevitag dewan riset nasional keluar dana tambah baik ekonomi itali,2
199,dewan riset nasional kelola perintah kata provinsi italia capai puncak sebar virus hipoevitag itali tidak kena virus,0
200,hasil bendera merah putih kibar sulawesi utara seluruh tahan pro proklamasi merdeka ri agustus hasil bebas tahan asing jabat nica ternate ujar ben wowor saksi hidup kini usia tahun okezone hipoevitag ben wowor kini usia tahun,1
201,hasil bendera merah putih kibar sulawesi utara seluruh tahan pro proklamasi merdeka ri agustus hasil bebas tahan asing jabat nica ternate ujar ben wowor saksi hidup kini usia tahun okezone hipoevitag jabat nica tahan pasu pro proklamasi merdeka ri agustus,2
202,hasil bendera merah putih kibar sulawesi utara seluruh tahan pro proklamasi merdeka ri agustus hasil bebas tahan asing jabat nica ternate ujar ben wowor saksi hidup kini usia tahun okezone hipoevitag tahan pro proklamasi merdeka ri agustus asing ternate,0
203,masa jabat pertama suami ibu tien tidak damping wakil presiden bagaimana atur turut konstitusi hipoevitag suami ibu tien langgar konstitusi,1
204,masa jabat pertama suami ibu tien tidak damping wakil presiden bagaimana atur turut konstitusi hipoevitag suami ibu tien pimpin negara nlp,2
205,masa jabat pertama suami ibu tien tidak damping wakil presiden bagaimana atur turut konstitusi hipoevitag suami ibu tien damping wakil presiden,0
